DataPoint,UnixTime,SessionTime,Wheel_RPM_Left,Wheel_RPM_Right,Stroke1_mm,Stroke2_mm,GPS_Lat,GPS_Lng,GPS_Age,GPS_Course,GPS_Speed,IMU_AccelX,IMU_AccelY,IMU_AccelZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ
18,1776426557188,3402,575.20,572.50,22.70,20.72,42.669821,-83.219744,131.00,335.35,49.26,0.4020,-0.1630,1.0050,0.1700,0.0540,-0.0820
19,1776426557388,3602,580.60,577.90,22.45,19.93,42.669810,-83.219714,83.00,333.30,49.78,0.2870,-0.2530,0.9690,0.1190,-0.0780,-0.1260
20,1776426557588,3802,586.00,579.40,22.42,19.30,42.669798,-83.219685,148.00,330.54,50.08,0.1690,-0.3410,0.9600,-0.0860,0.0190,-0.1700
21,1776426557788,4002,587.50,579.40,23.21,18.99,42.669784,-83.219656,83.00,327.09,50.17,0.0500,-0.4280,0.9770,-0.0850,0.1060,-0.2140
22,1776426557988,4202,586.50,578.50,22.18,17.80,42.669769,-83.219629,108.00,322.94,50.05,-0.0700,-0.5130,1.0240,-0.1220,-0.1440,-0.2570
23,1776426557989,4203,,,,,,,,,,,,,,,
24,1776426558188,4402,582.30,574.50,22.10,17.27,42.669752,-83.219604,84.00,318.08,49.71,-0.1890,-0.5970,0.9960,0.0710,-0.1560,-0.2980
25,1776426558189,4403,,,,,,,,,,,,,,,
26,1776426558389,4603,577.10,566.60,22.46,16.59,42.669734,-83.219581,64.00,312.50,49.16,-0.3070,-0.6780,1.0420,-0.0860,-0.1450,-0.3390
27,1776426558589,4803,569.80,556.20,22.68,16.02,42.669715,-83.219562,64.00,306.17,48.40,-0.4210,-0.7570,0.9790,-0.1640,-0.1460,-0.3790
28,1776426558789,5003,558.50,544.40,22.93,15.31,42.669694,-83.219546,72.00,299.06,47.44,-0.5310,-0.8340,0.9830,-0.0760,0.0390,-0.4170
29,1776426558990,5204,546.40,531.20,22.79,14.81,42.669672,-83.219535,125.00,291.13,46.30,-0.6360,-0.9070,1.0460,-0.1910,-0.1120,-0.4530
30,1776426559190,5404,531.50,515.50,22.90,14.12,42.669651,-83.219528,138.00,282.34,44.98,-0.7340,-0.9770,0.9720,0.0690,-0.0520,-0.4880
31,1776426559390,5604,514.60,497.80,23.11,13.74,42.669629,-83.219527,146.00,272.63,43.49,-0.8250,-1.0430,0.9880,0.1230,-0.1500,-0.5220
32,1776426559590,5804,495.70,477.40,23.36,13.12,42.669608,-83.219531,89.00,261.94,41.86,-0.9080,-1.1060,1.0270,-0.1630,0.1500,-0.5530
33,1776426559790,6004,475.40,457.10,23.08,12.59,42.669589,-83.219540,82.00,250.18,40.09,-0.9820,-1.1650,0.9830,0.1660,-0.1760,-0.5820
34,1776426559990,6204,455.00,433.90,23.06,12.21,42.669573,-83.219554,148.00,237.26,38.21,-1.0460,-1.2190,0.9660,0.1780,0.0380,-0.6100
35,1776426559991,6205,,,,,,,,,,,,,,,
36,1776426560190,6404,,,23.23,11.78,,,,,,,,,,,
37,1776426560191,6405,432.10,410.50,23.65,13.14,42.669561,-83.219572,73.00,223.08,36.23,-1.0990,-1.2700,1.0310,-0.0580,0.1970,-0.6350
38,1776426560391,6605,407.60,386.10,23.37,11.51,42.669553,-83.219593,107.00,207.50,34.17,-1.1420,-1.3150,0.9710,-0.0060,-0.1340,-0.6580
39,1776426560591,6805,383.00,362.40,23.05,11.07,42.669550,-83.219614,68.00,190.39,32.06,-1.1730,-1.3560,1.0210,0.0710,-0.1410,-0.6780
40,1776426560791,7005,359.60,335.90,23.02,10.90,42.669553,-83.219634,76.00,171.55,29.91,-1.1920,-1.3920,0.9800,-0.1280,0.0030,-0.6960
41,1776426560991,7205,334.50,311.70,23.10,10.54,42.669559,-83.219651,97.00,150.80,27.75,-1.2000,-1.4230,1.0260,-0.0090,0.1910,-0.7120
42,1776426561191,7405,309.00,285.40,22.80,10.49,42.669569,-83.219661,115.00,127.90,25.60,-1.1950,-1.4490,1.0410,-0.1310,0.0040,-0.7240
43,1776426561391,7605,284.00,261.70,22.73,10.29,42.669581,-83.219665,94.00,102.57,23.48,-1.1790,-1.4700,0.9690,-0.0440,-0.1150,-0.7350
44,1776426561591,7805,261.20,237.80,22.82,10.22,42.669591,-83.219661,132.00,74.50,21.41,-1.1510,-1.4850,0.9960,-0.1410,0.0450,-0.7420
45,1776426561791,8005,238.50,213.20,23.09,11.57,42.669598,-83.219651,139.00,43.32,19.41,-1.1110,-1.4950,1.0350,0.0190,0.0480,-0.7480
46,1776426561992,8206,214.90,191.00,22.21,9.94,42.669599,-83.219640,97.00,8.65,17.50,-1.0600,-1.5000,0.9950,0.1940,-0.1230,-0.7500
47,1776426562192,8406,195.10,171.20,22.19,10.04,42.669595,-83.219630,92.00,330.02,15.70,-0.9990,-1.4990,1.0360,-0.1320,0.1610,-0.7490
48,1776426562392,8606,175.70,151.10,22.00,10.04,42.669588,-83.219628,80.00,286.97,14.03,-0.9270,-1.4930,0.9850,0.0620,-0.0100,-0.7460
49,1776426562592,8806,157.70,134.60,21.97,10.06,42.669583,-83.219632,148.00,239.05,12.51,-0.8470,-1.4810,1.0040,0.1330,0.1540,-0.7410
50,1776426562792,9006,142.00,117.50,21.61,10.20,42.669582,-83.219640,68.00,185.89,11.15,-0.7580,-1.4640,1.0480,0.0240,-0.1110,-0.7320
51,1776426562992,9206,128.30,104.90,21.51,10.41,42.669586,-83.219644,110.00,127.27,9.96,-0.6610,-1.4420,0.9600,0.0130,-0.1090,-0.7210
52,1776426563192,9406,114.60,92.20,21.14,10.75,42.669590,-83.219641,133.00,63.31,8.95,-0.5580,-1.4150,0.9860,-0.1660,-0.1590,-0.7070
53,1776426563392,9606,106.80,83.00,20.88,10.94,42.669590,-83.219635,146.00,354.63,8.15,-0.4490,-1.3830,0.9700,0.1320,0.0530,-0.6910
54,1776426563592,9806,98.70,76.70,20.62,11.28,42.669586,-83.219634,139.00,282.45,7.54,-0.3350,-1.3450,1.0080,-0.1200,-0.1460,-0.6730
55,1776426563793,10007,95.10,72.90,20.50,11.66,42.669585,-83.219639,147.00,209.22,7.20,-0.2190,-1.3030,1.0070,-0.0250,0.0940,-0.6510
56,1776426563993,10207,93.60,73.90,20.23,11.94,42.669587,-83.219642,63.00,138.62,7.20,-0.1000,-1.2560,1.0120,0.0010,0.0730,-0.6280
57,1776426564193,10407,94.30,75.50,20.08,12.40,42.669590,-83.219641,125.00,71.26,7.24,0.0200,-1.2050,0.9680,0.0470,-0.0350,-0.6020
58,1776426564393,10607,96.10,77.70,20.40,12.84,42.669591,-83.219636,142.00,9.17,7.49,0.1400,-1.1490,0.9920,-0.0460,0.1810,-0.5740
59,1776426564593,10807,101.00,83.10,20.59,13.34,42.669588,-83.219632,99.00,313.76,7.95,0.2580,-1.0890,0.9660,-0.1870,0.1860,-0.5440
60,1776426564793,11007,108.20,91.80,20.70,13.88,42.669584,-83.219632,61.00,265.67,8.63,0.3740,-1.0250,0.9730,-0.0580,0.0630,-0.5130
61,1776426564993,11207,118.30,102.30,20.91,14.39,42.669581,-83.219637,71.00,224.87,9.50,0.4860,-0.9580,1.0260,0.1210,0.1450,-0.4790
62,1776426565193,11407,129.60,115.60,21.23,14.82,42.669579,-83.219644,100.00,190.92,10.57,0.5930,-0.8870,0.9530,0.0740,-0.0570,-0.4430
63,1776426565194,11408,,,,,,,,,,,,,,,
64,1776426565393,11607,143.60,130.20,21.32,15.43,42.669581,-83.219652,94.00,163.10,11.82,0.6940,-0.8120,0.9600,-0.0300,0.0160,-0.4060
65,1776426565394,11608,,,,,,,,,,,,,,,
66,1776426565594,11808,159.60,148.20,21.77,16.02,42.669585,-83.219659,146.00,140.61,13.24,0.7880,-0.7350,1.0030,-0.1750,-0.1770,-0.3680
67,1776426565794,12008,178.30,166.60,22.58,17.40,42.669592,-83.219664,128.00,122.70,14.81,0.8750,-0.6560,0.9950,-0.1500,-0.1730,-0.3280
68,1776426565994,12208,196.50,187.30,22.17,17.34,42.669599,-83.219668,138.00,108.65,16.52,0.9520,-0.5740,0.9710,0.1490,0.1500,-0.2870
69,1776426566194,12408,218.10,209.30,22.40,18.15,42.669609,-83.219669,73.00,97.86,18.36,1.0210,-0.4890,1.0130,0.1200,0.1870,-0.2450
70,1776426566394,12608,238.70,233.80,22.53,18.75,42.669619,-83.219669,66.00,89.82,20.30,1.0780,-0.4040,1.0150,0.1880,0.0750,-0.2020
71,1776426566594,12808,262.80,256.80,22.46,19.54,42.669630,-83.219668,131.00,84.09,22.33,1.1260,-0.3160,1.0040,0.0340,0.1080,-0.1580
72,1776426566794,13008,285.20,282.20,22.84,20.17,42.669642,-83.219665,56.00,80.31,24.42,1.1620,-0.2280,0.9800,-0.1140,-0.1200,-0.1140
73,1776426566994,13208,309.10,307.40,22.76,20.99,42.669655,-83.219661,83.00,78.20,26.55,1.1860,-0.1380,1.0040,0.1650,0.1040,-0.0690
74,1776426567195,13409,334.60,332.90,22.97,21.57,42.669669,-83.219657,142.00,77.52,28.71,1.1980,-0.0490,1.0150,0.1620,0.1410,-0.0240
75,1776426567395,13609,358.90,360.10,23.08,22.29,42.669684,-83.219653,52.00,78.06,30.87,1.1990,0.0410,0.9850,0.1290,0.1060,0.0210
76,1776426567595,13809,382.20,385.60,23.26,23.08,42.669700,-83.219649,86.00,79.67,33.01,1.1870,0.1310,1.0500,-0.0170,0.1570,0.0660
77,1776426567795,14009,407.30,410.40,23.08,23.81,42.669717,-83.219645,98.00,82.21,35.10,1.1640,0.2210,1.0420,-0.1230,-0.0870,0.1100
78,1776426567995,14209,429.70,433.60,23.51,24.53,42.669736,-83.219644,109.00,85.58,37.13,1.1290,0.3090,0.9880,-0.1760,0.0600,0.1550
79,1776426568195,14409,451.80,458.40,23.52,25.08,42.669755,-83.219643,126.00,89.69,39.08,1.0830,0.3970,0.9550,0.0100,-0.0440,0.1980
80,1776426568395,14609,471.40,479.20,23.18,25.87,42.669776,-83.219645,58.00,94.46,40.93,1.0260,0.4830,1.0500,-0.1820,0.0790,0.2410
81,1776426568595,14809,492.20,501.40,23.30,26.62,42.669797,-83.219651,122.00,99.84,42.65,0.9580,0.5670,1.0380,-0.1640,0.0030,0.2830
82,1776426568795,15009,509.10,519.80,23.23,27.29,42.669818,-83.219659,59.00,105.78,44.24,0.8810,0.6490,1.0410,-0.0350,0.0160,0.3250
83,1776426568796,15010,,,,,,,,,,,,,,,
84,1776426568996,15210,525.90,537.50,23.31,27.86,42.669839,-83.219670,110.00,112.24,45.67,0.7960,0.7290,1.0500,-0.0210,0.0370,0.3650
85,1776426569196,15410,539.90,552.40,23.24,28.46,42.669859,-83.219686,106.00,119.20,46.93,0.7020,0.8060,0.9660,0.0990,-0.1380,0.4030
86,1776426569396,15610,551.20,565.50,23.14,29.12,42.669879,-83.219705,113.00,126.62,48.02,0.6010,0.8810,1.0320,-0.0420,0.0870,0.4400
87,1776426569596,15810,560.60,576.20,22.96,29.61,42.669896,-83.219729,69.00,134.50,48.91,0.4950,0.9520,1.0050,0.1830,0.0980,0.4760
88,1776426569796,16010,569.30,586.10,23.51,29.09,42.669911,-83.219756,149.00,142.82,49.60,0.3830,1.0200,1.0110,0.1450,0.1840,0.5100
89,1776426569996,16210,573.00,591.60,22.37,30.66,42.669923,-83.219785,135.00,151.58,50.08,0.2670,1.0840,0.9570,0.1510,-0.1160,0.5420
90,1776426570196,16410,576.80,594.80,22.19,31.20,42.669931,-83.219818,67.00,160.78,50.35,0.1490,1.1440,1.0480,-0.0540,-0.1280,0.5720
91,1776426570396,16610,576.00,596.80,22.22,31.59,42.669935,-83.219851,106.00,170.42,50.40,0.0300,1.2000,1.0240,-0.1510,0.0830,0.6000
92,1776426570596,16810,574.40,594.50,22.09,32.07,42.669935,-83.219885,133.00,180.50,50.24,-0.0900,1.2520,0.9740,0.1050,-0.0970,0.6260
93,1776426570796,17010,569.30,589.70,22.44,32.46,42.669930,-83.219919,94.00,191.05,49.86,-0.2090,1.2990,0.9890,0.0020,-0.1350,0.6500
94,1776426570996,17210,562.70,583.20,22.54,32.66,42.669921,-83.219950,70.00,202.07,49.27,-0.3260,1.3420,0.9870,-0.0970,0.1270,0.6710
95,1776426570997,17211,,,,,,,,,,,,,,,
96,1776426571197,17411,552.30,574.10,22.69,32.94,42.669908,-83.219977,67.00,213.59,48.48,-0.4400,1.3800,0.9880,-0.0160,0.0230,0.6900
97,1776426571397,17611,540.30,564.50,22.99,33.34,42.669891,-83.220000,95.00,225.62,47.49,-0.5490,1.4130,1.0090,-0.1900,-0.0810,0.7060
98,1776426571597,17811,528.30,550.90,22.91,33.45,42.669871,-83.220016,83.00,238.21,46.32,-0.6530,1.4400,0.9950,0.1200,0.1990,0.7200
99,1776426571797,18011,512.00,535.00,23.17,33.66,42.669850,-83.220026,74.00,251.37,44.97,-0.7500,1.4630,1.0180,0.0850,-0.0650,0.7310
100,1776426571997,18211,494.00,516.60,23.18,33.79,42.669828,-83.220028,95.00,265.15,43.46,-0.8400,1.4800,0.9690,-0.1490,-0.1600,0.7400
101,1776426572197,18411,473.50,497.30,23.10,33.96,42.669808,-83.220024,64.00,279.60,41.80,-0.9210,1.4920,1.0370,-0.1240,-0.1350,0.7460
102,1776426572397,18611,452.50,476.50,23.15,33.97,42.669790,-83.220012,61.00,294.76,40.01,-0.9930,1.4990,1.0130,-0.1080,-0.0260,0.7490
103,1776426572597,18811,432.00,455.30,23.06,33.97,42.669775,-83.219995,88.00,310.68,38.11,-1.0560,1.5000,1.0020,-0.0750,0.0870,0.7500
104,1776426572797,19011,408.40,432.30,23.10,33.90,42.669765,-83.219975,56.00,327.44,36.12,-1.1070,1.4960,1.0440,-0.0280,-0.0600,0.7480
105,1776426572997,19211,384.30,407.20,23.04,33.91,42.669761,-83.219953,54.00,345.10,34.05,-1.1480,1.4860,0.9980,0.1830,-0.0240,0.7430
106,1776426573197,19411,360.40,383.10,23.25,33.84,42.669762,-83.219931,124.00,3.75,31.93,-1.1770,1.4710,0.9720,0.0330,0.0860,0.7360
107,1776426573198,19412,,,,,,,,,,,,,,,
108,1776426573398,19612,335.20,358.20,23.11,33.55,42.669768,-83.219912,91.00,23.46,29.78,-1.1950,1.4510,0.9690,0.1920,0.1460,0.7250
109,1776426573598,19812,309.30,331.80,22.99,33.32,42.669778,-83.219899,140.00,44.34,27.62,-1.2000,1.4250,1.0440,-0.0210,0.0310,0.7130
110,1776426573798,20012,284.90,307.00,23.47,31.73,42.669789,-83.219892,136.00,66.50,25.47,-1.1930,1.3950,1.0090,-0.0810,-0.0830,0.6970
111,1776426573998,20212,260.20,283.30,22.81,32.94,42.669801,-83.219892,126.00,90.05,23.36,-1.1750,1.3590,0.9670,-0.1830,-0.0460,0.6800
112,1776426574198,20412,236.80,259.20,22.57,32.54,42.669811,-83.219898,118.00,115.11,21.30,-1.1450,1.3190,1.0460,-0.1250,-0.1260,0.6590
113,1776426574398,20612,213.70,235.80,22.50,32.23,42.669817,-83.219908,117.00,141.79,19.31,-1.1030,1.2730,1.0080,0.1380,0.1240,0.6370
114,1776426574598,20812,193.30,213.30,22.27,31.75,42.669818,-83.219920,130.00,170.22,17.42,-1.0510,1.2240,1.0000,-0.0060,-0.1530,0.6120
115,1776426574798,21012,172.60,190.70,22.02,31.37,42.669815,-83.219930,55.00,200.47,15.64,-0.9870,1.1690,1.0330,-0.0250,-0.0790,0.5850
116,1776426574998,21212,154.70,171.10,21.87,30.79,42.669810,-83.219936,54.00,232.59,14.00,-0.9140,1.1110,1.0350,0.0010,-0.0020,0.5550
117,1776426575199,21413,136.60,153.80,21.79,30.47,42.669804,-83.219936,148.00,266.53,12.50,-0.8320,1.0480,1.0180,-0.1160,0.1760,0.5240
118,1776426575399,21613,121.80,138.10,21.45,29.85,42.669799,-83.219932,71.00,302.14,11.16,-0.7420,0.9820,0.9670,-0.1930,0.1630,0.4910
119,1776426575599,21813,109.90,123.40,21.39,29.40,42.669797,-83.219926,127.00,339.04,10.01,-0.6440,0.9130,0.9740,-0.1070,0.1510,0.4560
120,1776426575799,22013,98.90,111.40,21.32,28.68,42.669798,-83.219920,144.00,16.65,9.03,-0.5400,0.8390,0.9920,0.1640,-0.0560,0.4200
121,1776426575999,22213,89.50,101.60,21.10,28.02,42.669802,-83.219917,122.00,54.05,8.26,-0.4300,0.7630,1.0150,0.1340,-0.1570,0.3820
122,1776426576199,22413,84.00,95.00,20.53,27.45,42.669806,-83.219917,88.00,90.07,7.69,-0.3160,0.6850,1.0010,-0.0810,-0.1970,0.3420
123,1776426576399,22613,81.30,89.40,20.60,26.90,42.669809,-83.219920,138.00,123.37,7.33,-0.1990,0.6030,1.0470,0.1530,-0.1050,0.3020
124,1776426576599,22813,79.40,88.20,20.13,26.13,42.669810,-83.219924,102.00,152.59,7.20,-0.0800,0.5200,1.0350,-0.0270,-0.1210,0.2600
125,1776426576799,23013,81.10,87.30,20.29,25.55,42.669810,-83.219929,125.00,176.78,7.27,0.0400,0.4350,1.0470,-0.1040,0.1720,0.2170
126,1776426576999,23213,85.40,90.80,20.26,24.77,42.669809,-83.219934,82.00,195.39,7.56,0.1600,0.3480,1.0150,-0.1410,-0.0050,0.1740
127,1776426577200,23414,90.90,95.00,20.71,23.99,42.669807,-83.219938,52.00,208.43,8.06,0.2780,0.2600,0.9970,-0.0550,0.1520,0.1300
128,1776426577400,23614,101.30,102.40,20.76,23.28,42.669805,-83.219943,65.00,216.31,8.77,0.3930,0.1710,1.0240,0.1070,-0.1710,0.0850
129,1776426577600,23814,111.60,112.20,20.91,22.62,42.669802,-83.219948,93.00,219.69,9.68,0.5040,0.0810,0.9820,0.0330,-0.1690,0.0400
130,1776426577800,24014,126.00,125.90,21.95,21.94,42.669798,-83.219954,124.00,219.35,10.77,0.6100,-0.0090,1.0340,0.1490,-0.1540,-0.0050
131,1776426578000,24214,141.30,138.60,21.55,21.16,42.669795,-83.219961,66.00,216.03,12.05,0.7100,-0.0990,0.9820,-0.0380,-0.1760,-0.0490
132,1776426578200,24414,158.40,154.80,21.75,20.54,42.669792,-83.219969,138.00,210.38,13.50,0.8030,-0.1890,0.9580,0.1100,-0.0660,-0.0940
133,1776426578400,24614,178.40,172.50,22.07,19.85,42.669789,-83.219978,95.00,202.94,15.10,0.8880,-0.2770,1.0430,0.1200,0.0470,-0.1390
134,1776426578601,24815,197.80,192.50,21.97,19.03,42.669787,-83.219989,58.00,194.16,16.83,0.9650,-0.3650,0.9800,0.1650,-0.0030,-0.1830
135,1776426578801,25015,221.40,213.00,22.25,18.36,42.669786,-83.220002,71.00,184.37,18.69,1.0310,-0.4520,0.9810,0.0600,0.1280,-0.2260
136,1776426579001,25215,244.30,235.30,22.31,17.66,42.669787,-83.220016,90.00,173.85,20.65,1.0870,-0.5370,1.0390,-0.1140,-0.0850,-0.2680
137,1776426579201,25415,269.40,258.60,22.67,17.13,42.669790,-83.220030,124.00,162.79,22.69,1.1320,-0.6200,1.0210,-0.0660,0.0330,-0.3100
138,1776426579401,25615,293.20,282.70,22.74,16.33,42.669796,-83.220045,119.00,151.35,24.79,1.1660,-0.7010,1.0260,-0.0660,-0.1590,-0.3500
139,1776426579601,25815,320.30,308.00,22.87,15.79,42.669805,-83.220059,123.00,139.65,26.92,1.1890,-0.7790,0.9610,-0.0080,-0.1300,-0.3890
140,1776426579801,26015,345.80,332.20,22.99,15.15,42.669816,-83.220071,66.00,127.76,29.08,1.1990,-0.8540,1.0450,0.0630,-0.0470,-0.4270
141,1776426580001,26215,369.90,356.70,23.25,14.65,42.669830,-83.220080,56.00,115.75,31.24,1.1980,-0.9270,0.9990,0.0380,-0.0740,-0.4630
142,1776426580201,26415,396.30,381.00,23.27,14.06,42.669847,-83.220086,131.00,103.67,33.37,1.1840,-0.9960,0.9520,0.0930,-0.0790,-0.4980
143,1776426580401,26615,421.80,403.50,23.42,13.51,42.669864,-83.220086,95.00,91.56,35.46,1.1590,-1.0610,0.9570,-0.0010,-0.0340,-0.5310
144,1776426580602,26816,445.30,427.00,23.49,13.10,42.669883,-83.220082,137.00,79.43,37.48,1.1220,-1.1230,1.0030,0.0210,-0.0850,-0.5610
145,1776426580802,27016,468.20,448.40,23.48,12.64,42.669901,-83.220071,72.00,67.31,39.41,1.0740,-1.1810,0.9520,-0.1150,-0.0750,-0.5900
146,1776426581002,27216,489.60,470.00,23.44,12.09,42.669918,-83.220055,75.00,55.20,41.24,1.0150,-1.2340,1.0250,-0.0190,0.1440,-0.6170
147,1776426581202,27416,510.60,488.40,23.24,11.76,42.669932,-83.220034,71.00,43.11,42.94,0.9460,-1.2830,0.9930,-0.1990,-0.1580,-0.6410
148,1776426581402,27616,527.60,506.60,23.33,11.31,42.669944,-83.220008,106.00,31.04,44.50,0.8670,-1.3270,0.9960,0.0260,0.1000,-0.6640
149,1776426581602,27816,544.30,522.70,23.19,11.11,42.669951,-83.219979,54.00,18.99,45.90,0.7800,-1.3670,0.9950,0.1170,-0.0510,-0.6830
150,1776426581802,28016,558.90,537.60,24.02,12.16,42.669954,-83.219947,68.00,6.96,47.14,0.6850,-1.4010,1.0490,-0.1880,0.1990,-0.7010
151,1776426582002,28216,572.60,548.60,23.06,10.63,42.669952,-83.219915,111.00,354.94,48.19,0.5840,-1.4310,1.0290,0.1180,-0.0530,-0.7150
152,1776426582202,28416,581.30,559.50,22.82,10.42,42.669945,-83.219883,82.00,342.94,49.05,0.4760,-1.4550,0.9700,-0.0060,0.1100,-0.7280
153,1776426582402,28616,590.20,566.30,22.48,10.23,42.669933,-83.219853,50.00,330.93,49.70,0.3640,-1.4740,1.0040,-0.1120,0.1760,-0.7370
154,1776426582602,28816,595.60,571.20,22.48,10.02,42.669916,-83.219827,119.00,318.92,50.15,0.2480,-1.4880,0.9640,0.1800,-0.0460,-0.7440
155,1776426582802,29016,598.60,573.90,22.08,10.09,42.669896,-83.219807,133.00,306.89,50.38,0.1290,-1.4970,0.9560,-0.0420,0.1400,-0.7480
156,1776426583003,29217,598.50,574.30,21.93,9.97,42.669873,-83.219793,85.00,294.85,50.40,0.0100,-1.5000,0.9870,0.1890,0.0380,-0.7500
157,1776426583203,29417,595.60,571.80,22.00,10.11,42.669849,-83.219785,137.00,282.77,50.20,-0.1100,-1.4980,0.9870,0.0600,-0.0800,-0.7490
158,1776426583403,29617,591.50,566.50,22.51,10.09,42.669824,-83.219785,103.00,270.66,49.79,-0.2290,-1.4900,0.9570,0.1800,0.1560,-0.7450
159,1776426583603,29817,584.40,559.70,22.75,10.27,42.669800,-83.219791,53.00,258.50,49.16,-0.3450,-1.4770,0.9850,0.1470,-0.0280,-0.7390
160,1776426583803,30017,574.70,550.30,22.83,10.31,42.669778,-83.219804,54.00,246.29,48.34,-0.4580,-1.4590,0.9870,-0.1810,0.1640,-0.7290
161,1776426584003,30217,562.00,539.60,22.94,10.44,42.669759,-83.219823,115.00,234.02,47.32,-0.5670,-1.4350,0.9880,0.0850,-0.0960,-0.7180
162,1776426584203,30417,548.20,524.30,23.03,10.75,42.669744,-83.219847,81.00,221.67,46.11,-0.6700,-1.4060,0.9530,0.1650,0.0300,-0.7030
163,1776426584403,30617,530.40,509.40,23.13,11.02,42.669733,-83.219873,103.00,209.26,44.73,-0.7660,-1.3730,0.9610,0.1830,0.0990,-0.6860
164,1776426584603,30817,512.50,491.10,23.00,11.26,42.669726,-83.219901,137.00,196.76,43.20,-0.8540,-1.3340,1.0460,-0.0500,-0.1190,-0.6670
165,1776426584804,31018,493.10,473.70,23.30,11.71,42.669725,-83.219929,132.00,184.18,41.52,-0.9340,-1.2900,0.9700,0.0850,-0.0690,-0.6450
166,1776426585004,31218,472.50,451.20,23.11,12.03,42.669728,-83.219956,69.00,171.53,39.71,-1.0050,-1.2420,1.0110,0.1340,-0.1790,-0.6210
167,1776426585204,31418,448.60,430.50,23.19,12.54,42.669735,-83.219980,137.00,158.79,37.79,-1.0650,-1.1890,0.9660,0.1930,0.1720,-0.5950
168,1776426585404,31618,425.90,408.10,23.03,12.98,42.669745,-83.220000,57.00,145.98,35.78,-1.1150,-1.1320,0.9620,0.0770,-0.1150,-0.5660
169,1776426585604,31818,400.70,382.80,23.03,13.50,42.669757,-83.220016,70.00,133.12,33.71,-1.1540,-1.0710,0.9750,-0.0040,0.1880,-0.5360
170,1776426585804,32018,375.50,360.10,23.21,13.94,42.669771,-83.220027,85.00,120.22,31.58,-1.1810,-1.0070,1.0010,-0.1800,0.0900,-0.5030
171,1776426586004,32218,349.30,334.10,23.12,14.58,42.669785,-83.220033,67.00,107.32,29.43,-1.1960,-0.9380,1.0410,0.0000,0.0960,-0.4690
